// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
DEFINE OBJECT FLAME_TINS               // Object number -43
DEFINE OBJECT TROPHIES                 // Object number -44
DEFINE OBJECT HELI_BOX                 // Object number -45
DEFINE OBJECT PIZZA_BOX1               // Object number -46
DEFINE OBJECT PIZZA_MESS               // Object number -47
DEFINE OBJECT PIZZA_MESS2              // Object number -48
DEFINE OBJECT MAN_RUBBISH03            // Object number -49
DEFINE OBJECT GASH_BAGS1               // Object number -50
DEFINE OBJECT GASHBAGS2                // Object number -51
DEFINE OBJECT POLOROIDS                // Object number -52
DEFINE OBJECT GUN_DOCS                 // Object number -53
DEFINE OBJECT SHOVEL                   // Object number -54
DEFINE OBJECT KILLFRENZY               // Object number -55
DEFINE OBJECT COMGATE1CLOSED           // Object number -56
DEFINE OBJECT COMGATE2CLOSED           // Object number -57
DEFINE OBJECT NT_ROADBLOCKCI           // Object number -58
DEFINE OBJECT NT_ROADBLOCKGF           // Object number -59
DEFINE OBJECT WSH_ROADBLOCK            // Object number -60
DEFINE OBJECT MANSION_NEW_DOORS        // Object number -61
DEFINE OBJECT MAN_DOORCLOSED           // Object number -62
DEFINE OBJECT WSHPERDRCLSD             // Object number -63
DEFINE OBJECT HAITAXIDR                // Object number -64
DEFINE OBJECT B_HSE_DOORS              // Object number -65
DEFINE OBJECT DK_CAMJONESDOOR          // Object number -66
DEFINE OBJECT DTS_GS_LIFTDOORL         // Object number -67
DEFINE OBJECT DTS_GS_LIFTDOORR         // Object number -68
DEFINE OBJECT DTS_SPOT_A               // Object number -69
DEFINE OBJECT DTS_SOAPYTITWANK_A       // Object number -70
DEFINE OBJECT DT_GSPOT_STAIRS          // Object number -71
DEFINE OBJECT OD_CELLDOOR02            // Object number -72
DEFINE OBJECT CI_JETYGATESCLOSED       // Object number -73
DEFINE OBJECT NHAITPLATDR              // Object number -74
DEFINE OBJECT NHAITPLATDRR             // Object number -75
DEFINE OBJECT SPAD_DR_CLOSED1          // Object number -76
DEFINE OBJECT SPAD_DR_CLOSED2          // Object number -77
DEFINE OBJECT SPAD_DR_CLOSED3          // Object number -78
DEFINE OBJECT PH_BUILD_DR_CLOSED       // Object number -79
DEFINE OBJECT ICEDOOR                  // Object number -80
DEFINE OBJECT DTS_BBDOOR               // Object number -81
DEFINE OBJECT GOLF_GATESCLOSED         // Object number -82
DEFINE OBJECT PRINTDOOOR               // Object number -83
DEFINE OBJECT UNROCKETED_WIN1          // Object number -84
DEFINE OBJECT BNK_GRILL01              // Object number -85
DEFINE OBJECT HEALTH                   // Object number -86
DEFINE OBJECT ADRENALINE               // Object number -87
DEFINE OBJECT MOB_MOBROOM2             // Object number -88
DEFINE OBJECT MOB_DETAILSB             // Object number -89
DEFINE OBJECT AP_RADAR1_01             // Object number -90
DEFINE OBJECT VEG_PALM04               // Object number -91
DEFINE OBJECT DOC_CRANEEGGS04          // Object number -92
DEFINE OBJECT DOC_CRANE_CAB04          // Object number -93
DEFINE OBJECT DOCKFUEL07               // Object number -94
DEFINE OBJECT LODCARGOSHP03            // Object number -95
DEFINE OBJECT LODCARGOSHP04            // Object number -96
DEFINE OBJECT LODCARGOSHP05            // Object number -97
DEFINE OBJECT LODCARGOSHP24            // Object number -98
DEFINE OBJECT LODCARGOSHP25            // Object number -99
DEFINE OBJECT LODCARGOSHP28            // Object number -100
DEFINE OBJECT LODCARGOSHP32            // Object number -101
DEFINE OBJECT LODCARGOSHP35            // Object number -102
DEFINE OBJECT LODCARGOSHP41            // Object number -103
DEFINE OBJECT LODCARGOSHP47            // Object number -104
DEFINE OBJECT LODCARGOSHP50            // Object number -105
DEFINE OBJECT LODCARGOSHP51            // Object number -106
DEFINE OBJECT LODCARGOSHP64            // Object number -107
DEFINE OBJECT LODCARGOSHP70            // Object number -108
DEFINE OBJECT LODCARGOSHP71            // Object number -109
DEFINE OBJECT LODCARGOSHP72            // Object number -110
DEFINE OBJECT LODCARGOSHP73            // Object number -111
DEFINE OBJECT LODARGOHULL2             // Object number -112
DEFINE OBJECT BIG_POLY_TINGS_B         // Object number -113
DEFINE OBJECT BARREL4                  // Object number -114
DEFINE OBJECT BIG_POLY_TINGS           // Object number -115
DEFINE OBJECT SPAD_DR_OPEN3            // Object number -116
DEFINE OBJECT SPAD_DR_OPEN2            // Object number -117
DEFINE OBJECT SPAD_DR_OPEN1            // Object number -118
DEFINE OBJECT SEXYPOOLCOVER            // Object number -119
DEFINE OBJECT BRIEFCASE                // Object number -120
DEFINE OBJECT FAKETARGET               // Object number -121
DEFINE OBJECT MAN_DOOROPEN             // Object number -122
DEFINE OBJECT GOLF_GATESOPEN           // Object number -123
DEFINE OBJECT DYNAMITE                 // Object number -124
DEFINE OBJECT BARREL2                  // Object number -125
DEFINE OBJECT BLDNGST2MESHDAM          // Object number -126
DEFINE OBJECT BLDNGST2MESH             // Object number -127
DEFINE OBJECT JW_COFFIN                // Object number -128
DEFINE OBJECT KEYCARD                  // Object number -129
DEFINE OBJECT TAR_GUN1                 // Object number -130
DEFINE OBJECT TAR_GUN2                 // Object number -131
DEFINE OBJECT TAR_FRAME                // Object number -132
DEFINE OBJECT TAR_DOWNLEFT             // Object number -133
DEFINE OBJECT TAR_DOWNRIGHT            // Object number -134
DEFINE OBJECT TAR_TOP                  // Object number -135
DEFINE OBJECT TAR_UPLEFT               // Object number -136
DEFINE OBJECT TAR_UPRIGHT              // Object number -137
DEFINE OBJECT BNK_LFT_DOOR1            // Object number -138
DEFINE OBJECT BNK_LFT_DOOR2            // Object number -139
DEFINE OBJECT GASGRENADE               // Object number -140
DEFINE OBJECT ROCKETED_WIN1            // Object number -141
DEFINE OBJECT OD_CLUBOUT_DY            // Object number -142
DEFINE OBJECT OD_CLUBOUT_NT            // Object number -143
DEFINE OBJECT OD_CLUBNEON              // Object number -144
DEFINE OBJECT OD_CLUBDOORS             // Object number -145
DEFINE OBJECT VEG_PALMKBB11            // Object number -146
DEFINE OBJECT ODNROAD01_NT             // Object number -147
DEFINE OBJECT ODNROAD01_DY             // Object number -148
DEFINE OBJECT OD_CLUBBACK              // Object number -149
DEFINE OBJECT MIAMIODNROADXA           // Object number -150
DEFINE OBJECT LODD_BUILD2              // Object number -151
DEFINE OBJECT SPAD_BUILDNEW            // Object number -152
DEFINE OBJECT VEG_PALMBIG14            // Object number -153
DEFINE OBJECT GUNBOX                   // Object number -154
DEFINE OBJECT OD_WTSIGN                // Object number -155
DEFINE OBJECT OD_CHARIOT               // Object number -156
DEFINE OBJECT LODD_BUILDNEW            // Object number -157
DEFINE OBJECT LODCHARIOT               // Object number -158
DEFINE OBJECT PH_BUILD_DR_OPEN         // Object number -159
DEFINE OBJECT DTS_SOAPYTITWANK_B       // Object number -160
DEFINE OBJECT ML_TARBRUSH              // Object number -161
DEFINE OBJECT ML_TARBRUSHDAMAGE        // Object number -162
DEFINE OBJECT CI_GATESOPEN             // Object number -163
DEFINE OBJECT CI_BACKGATEOPEN          // Object number -164
DEFINE OBJECT CI_JETYGATESOPEN         // Object number -165
DEFINE OBJECT DK_REEF                  // Object number -166
DEFINE OBJECT DOONTOON50               // Object number -167
DEFINE OBJECT ROAD_DOWNTOWN_NEW2       // Object number -168
DEFINE OBJECT ROAD_DOWNTOWN02          // Object number -169
DEFINE OBJECT AMMUNATION_DT            // Object number -170
DEFINE OBJECT DOONTOON19               // Object number -171
DEFINE OBJECT DT_COMPOUND_ROOF         // Object number -172
DEFINE OBJECT DOONTOON51               // Object number -173
DEFINE OBJECT LODNTOON28               // Object number -174
DEFINE OBJECT AMMU_WINDOWS1            // Object number -175
DEFINE OBJECT WATERJUMPX2              // Object number -176
DEFINE OBJECT WATERJUMP1               // Object number -177
DEFINE OBJECT BUILD1                   // Object number -178
DEFINE OBJECT BUILDBLOWN               // Object number -179
DEFINE OBJECT HDRUGFACTORYINT          // Object number -180
DEFINE OBJECT HDRUGFACTORYPOL          // Object number -181
DEFINE OBJECT LODLD1                   // Object number -182
DEFINE OBJECT LODLDBLOWN               // Object number -183
DEFINE OBJECT RCBOMB                   // Object number -184
DEFINE OBJECT LF_MEDIASTAGE            // Object number -185
DEFINE OBJECT PIZZABOX                 // Object number -186
DEFINE OBJECT LH_RACE01                // Object number -187
DEFINE OBJECT LH_RACE02                // Object number -188
DEFINE OBJECT LH_RACE03                // Object number -189
DEFINE OBJECT LH_RACE04                // Object number -190
DEFINE OBJECT LH_RACE05                // Object number -191
DEFINE OBJECT LH_RACE06                // Object number -192
DEFINE OBJECT TRAFFICCONE              // Object number -193
DEFINE OBJECT CRAIGPACKAGE             // Object number -194
DEFINE OBJECT B_HSE_PIER               // Object number -195
DEFINE OBJECT B_HSE_EXT                // Object number -196
DEFINE OBJECT DOCKS28                  // Object number -197
DEFINE OBJECT DOCKSPROPS12             // Object number -198
DEFINE OBJECT DOCKS85                  // Object number -199
DEFINE OBJECT DK_DOCKROADS04           // Object number -200
DEFINE OBJECT B_HSE_PIERFENCE          // Object number -201
DEFINE OBJECT B_HSE_INTERIOR           // Object number -202
DEFINE OBJECT BOAT_KB2                 // Object number -203
DEFINE OBJECT KICKBUS04                // Object number -204

DEFINE MISSIONS 17
DEFINE MISSION 0 AT @INITIAL           // Initial
DEFINE MISSION 1 AT @_DRK              // Intro
DEFINE MISSION 2 AT @TIRMIS            // An Old Friend
DEFINE MISSION 3 AT @GGG1              // The Party
DEFINE MISSION 4 AT @BNKR              // Back Alley Brawl
DEFINE MISSION 5 AT @FTBL              // Jury Fury
DEFINE MISSION 6 AT @DTTT              // Riot
DEFINE MISSION 7 AT @SBORD             // Treacherous Swine
DEFINE MISSION 8 AT @BUGAL             // Mall Shootout
DEFINE MISSION 9 AT @FINAL             // Guardian Angels
DEFINE MISSION 10 AT @PCJPG            // Sir, Yes Sir!
DEFINE MISSION 11 AT @DRUGS            // All Hands On Deck!
DEFINE MISSION 12 AT @SLUHI            // The Chase
DEFINE MISSION 13 AT @MESS             // Phnom Penh '86
DEFINE MISSION 14 AT @RWTT             // The Fastest Boat
DEFINE MISSION 15 AT @RTYU             // Supply & Demand
DEFINE MISSION 16 AT @BAYY             // Rub Out

//-------------MAIN---------------
thread 'MAIN' 
fade 0 0 
042C: set_total_missions_to 88 
030D: set_total_mission_points_to 154 
01F0: set_max_wanted_level_to 6 
set_wb_check_to 1 
00C0: set_current_time 9 0 
04E4: request_collision_at 805.782 920.78 
Camera.SetAtPos(805.782, 920.78, 17.979)
$PLAYER_CHAR = Player.Create(#NULL, 805.782, 920.78, 17.979)
$PLAYER_ACTOR = Actor.EmulateFromPlayer($PLAYER_CHAR)
start_mission 0  // Initial
$ARENA_DOOR_1 = Object.Init(#DTN_STADDOORA, -1109.615, 1330.097, 20.372)
Object.RemoveFromMissionCleanupList($ARENA_DOOR_1)
$ARENA_DOOR_2 = Object.Init(#DTN_STADDOORB, -1109.615, 1331.932, 20.372)
Object.RemoveFromMissionCleanupList($ARENA_DOOR_2)
$6 = Object.Init(#DTHOTRING_A, -1037.08, 1340.258, 36.552)
Object.RemoveFromMissionCleanupList($6)
$7 = Object.Init(#KICKBUS04, 1100.39, 656.316, 546.461)
Object.RemoveFromMissionCleanupList($7)
Object.CollisionDetection($7) = True
$8 = 0 // $ = int 
$9 = Pickup.Create(#BRIBE, 15, 393.9, -60.2, 11.5)
$10 = Pickup.Create(#BRIBE, 15, 116.0, -1313.1, 4.4)
$11 = Pickup.Create(#BRIBE, 15, 393.7, -660.6, 10.7)
$12 = Pickup.Create(#BRIBE, 15, 470.7, 70.1, 10.8)
$13 = Pickup.Create(#BRIBE, 15, 382.7, 364.1, 10.8)
$14 = Pickup.Create(#BRIBE, 15, 422.4, 971.2, 12.1)
$15 = Pickup.Create(#BRIBE, 15, 89.1, 887.4, 10.5)
$16 = Pickup.Create(#BRIBE, 15, -822.7, 1304.5, 11.7)
$17 = Pickup.Create(#BRIBE, 15, -900.69, 251.4, 17.1)
$18 = Pickup.Create(#BRIBE, 15, -973.7, 61.0, 10.4)
$19 = Pickup.Create(#BRIBE, 15, -937.9, -114.1, 17.0)
$20 = Pickup.Create(#BRIBE, 15, -1015.9, -627.9, 11.2)
$21 = Pickup.Create(#BRIBE, 15, -906.3, -834.0, 15.7)
014B: $22 = init_car_generator #DELUXO -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1022.6 -868.6 12.2 angle 175.0 
014C: set_parked_car_generator $22 cars_to_generate_to 101 
014B: $24 = init_car_generator #SABRETUR -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1014.1 -869.4 12.2 angle 188.0 
014C: set_parked_car_generator $24 cars_to_generate_to 101 
014B: $25 = init_car_generator #SANDKING -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1014.3 -868.8 17.9 angle 195.0 
014C: set_parked_car_generator $25 cars_to_generate_to 101 
014B: $26 = init_car_generator #HOTRING -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1023.2 -868.1 17.9 angle 172.0 
014C: set_parked_car_generator $26 cars_to_generate_to 101 
014B: $27 = init_car_generator #SEASPAR -1 -1 force_spawn 0 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -379.0 -632.1 10.2 angle 187.2 
014C: set_parked_car_generator $27 cars_to_generate_to 101 
014B: $28 = init_car_generator #RHINO -1 -1 force_spawn 0 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1720.3 -239.6 14.8 angle 92.0 
014C: set_parked_car_generator $28 cars_to_generate_to 101 
014B: $29 = init_car_generator #HUNTER -1 -1 force_spawn 0 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1681.2 -103.7 14.7 angle 180.0 
014C: set_parked_car_generator $29 cars_to_generate_to 101 
014B: $30 = init_car_generator #HUNTER -1 -1 force_spawn 0 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -72.4 -1607.9 12.7 angle 0.0 
014C: set_parked_car_generator $30 cars_to_generate_to 101 
$FILM_STUDIO_FRONT_GATE_OPEN = Object.Init(#CI_GATESOPEN, 10.273, 963.308, 12.258)
Object.RemoveFromMissionCleanupList($FILM_STUDIO_FRONT_GATE_OPEN)
$FILM_STUDIO_BACK_GATE_OPEN = Object.Init(#CI_BACKGATEOPEN, -14.381, 884.12, 13.542)
Object.RemoveFromMissionCleanupList($FILM_STUDIO_BACK_GATE_OPEN)
$31 = Object.Init(#CI_JETYGATESOPEN, -115.825, 1028.55, 11.334)
Object.RemoveFromMissionCleanupList($31)
0180: set_on_mission_flag_to $ONMISSION 
$32 = 304.5 // $ = float 
$33 = 376.3 // $ = float 
$34 = 12.7 // $ = float 
$35 = -834.8 // $ = float 
$36 = 1306.9 // $ = float 
$37 = 11.0 // $ = float 
$38 = 14.0 // $ = float 
$39 = -1500.7 // $ = float 
$40 = 12.7 // $ = float 
$41 = 88.5 // $ = float 
$42 = -804.7 // $ = float 
$43 = 11.2 // $ = float 
$44 = 531.4 // $ = float 
$45 = 1273.7 // $ = float 
$46 = 17.6 // $ = float 
$47 = -560.1 // $ = float 
$48 = 703.6 // $ = float 
$49 = 20.5 // $ = float 
$50 = 209.5 // $ = float 
$51 = -1288.9 // $ = float 
$52 = 12.4 // $ = float 
$53 = 257.1 // $ = float 
$54 = -231.7 // $ = float 
$55 = 10.0 // $ = float 
$56 = -1059.6 // $ = float 
$57 = -274.5 // $ = float 
$58 = 11.4 // $ = float 
$59 = -1007.3 // $ = float 
$60 = -869.9 // $ = float 
$61 = 12.8 // $ = float 
$62 = 15.2 // $ = float 
$63 = 962.6 // $ = float 
$64 = 10.9 // $ = float 
$65 = -864.3 // $ = float 
$66 = -576.6 // $ = float 
$67 = 11.0 // $ = float 
$68 = -1011.7 // $ = float 
$69 = 203.9 // $ = float 
$70 = 11.2 // $ = float 
$71 = 487.2 // $ = float 
$72 = -81.5 // $ = float 
$73 = 11.4 // $ = float 
$74 = -685.8 // $ = float 
$75 = -1495.6 // $ = float 
$76 = 12.5 // $ = float 
$77 = -1003.1 // $ = float 
$78 = 207.0 // $ = float 
$79 = 10.0 // $ = float 
$80 = -246.6 // $ = float 
$81 = -1360.5 // $ = float 
$82 = 7.3 // $ = float 
$83 = -378.5 // $ = float 
$84 = -551.3 // $ = float 
$85 = 18.2 // $ = float 
$86 = 463.9 // $ = float 
$87 = -58.5 // $ = float 
$88 = 10.5 // $ = float 
$89 = -1101.1 // $ = float 
$90 = 343.2 // $ = float 
$91 = 10.2 // $ = float 
$92 = -69.4 // $ = float 
$93 = 932.7 // $ = float 
$94 = 9.9 // $ = float 
$95 = -1062.6 // $ = float 
$96 = -278.8 // $ = float 
$97 = 11.0 // $ = float 
$98 = 119.2 // $ = float 
$99 = -826.9 // $ = float 
$100 = 9.7 // $ = float 
$101 = 488.6 // $ = float 
$102 = -75.4 // $ = float 
$103 = 10.4 // $ = float 
$104 = -597.3 // $ = float 
$105 = 652.9 // $ = float 
$106 = 10.0 // $ = float 
$107 = -875.5 // $ = float 
$108 = 1159.3 // $ = float 
$109 = 10.2 // $ = float 
$110 = -1170.0 // $ = float 
$111 = -606.9 // $ = float 
$112 = 10.6 // $ = float 
$113 = -962.4 // $ = float 
$114 = 143.0 // $ = float 
$115 = 8.2 // $ = float 
$116 = 99.5 // $ = float 
$117 = -1468.5 // $ = float 
$118 = 9.9 // $ = float 
$119 = 428.4 // $ = float 
$120 = 605.9 // $ = float 
$121 = 12.2 // $ = float 
$122 = -865.9 // $ = float 
$123 = -571.9 // $ = float 
$125 = 11.0 // $ = float 
$126 = -1.9 // $ = float 
$127 = 959.9 // $ = float 
$128 = 10.9 // $ = float 
$129 = -640.8 // $ = float 
$130 = -1491.8 // $ = float 
$131 = 13.7 // $ = float 
$132 = -997.1 // $ = float 
$133 = 189.8 // $ = float 
$134 = 11.4 // $ = float 
$136 = 10000 // $ = int 
$137 = 2000 // $ = int 
$138 = 0 // $ = int 
$139 = 20000 // $ = int 
$140 = 3000 // $ = int 
$141 = 0 // $ = int 
$142 = 30000 // $ = int 
$143 = 4000 // $ = int 
$144 = 0 // $ = int 
$145 = 40000 // $ = int 
$146 = 5000 // $ = int 
$147 = 0 // $ = int 
$148 = 50000 // $ = int 
$149 = 1500 // $ = int 
$150 = 0 // $ = int 
$151 = 60000 // $ = int 
$152 = 7000 // $ = int 
$153 = 0 // $ = int 
$154 = 70000 // $ = int 
$155 = 8000 // $ = int 
$156 = 120000 // $ = int 
$157 = 10000 // $ = int 
$158 = 0 // $ = int 
$159 = 1000 // $ = int 
$160 = 2500 // $ = int 
$161 = 3000 // $ = int 
$162 = 6000 // $ = int 
$163 = 7000 // $ = int 
$164 = 8000 // $ = int 
$165 = 14000 // $ = int 
0219: $166 = create_garage_type 5 door 1280.41 717.363 36.908 to 1280.01 739.152 45.1539 depth 1290.62 718.296 
0219: $167 = create_garage_type 16 door 812.05 940.97 18.02 to 824.21 940.97 20.99 depth 812.05 934.76 
03BB: set_garage $167 door_type_to_swing_open 
03DA: set_garage $167 camera_follows_player 
0219: $168 = create_garage_type 17 door -836.88 -914.86 9.88 to -853.634 -914.86 15.297 depth -837.078 -898.171 
03DA: set_garage $168 camera_follows_player 
0219: $169 = create_garage_type 26 door 1125.39 -96.81 50.43 to 1103.81 -93.15 57.1 depth 1128.15 -82.8 
03DA: set_garage $169 camera_follows_player 
0219: $170 = create_garage_type 5 door -914.129 -1263.54 10.706 to -906.3 -1266.9 14.421 depth -907.137 -1246.626 
0219: $171 = create_garage_type 5 door -1014.341 -857.732 6.325 to -1014.341 -841.532 10.885 depth -1001.315 -857.732 
03BB: set_garage $171 door_type_to_swing_open 
0219: $172 = create_garage_type 5 door -886.157 -115.158 9.992 to -876.7 -119.83 15.58 depth -882.699 -108.312 
0219: $173 = create_garage_type 5 door 323.9 427.4 10.0 to 313.9 430.53 15.7 depth 326.3 434.5 
0219: $174 = create_garage_type 5 door -7.55 -1253.77 9.322 to 2.64 -1253.7 14.4 depth -7.55 -1261.2 
0219: $175 = create_garage_type 1 door -1056.05 -469.668 10.053 to -1038.966 -467.675 14.753 depth -1054.074 -486.611 
03BB: set_garage $175 door_type_to_swing_open 
0219: $176 = create_garage_type 23 door -823.448 -1488.083 10.852 to -842.0 -1481.0 16.165 depth -834.686 -1515.899 
03DA: set_garage $176 camera_follows_player 
03BB: set_garage $176 door_type_to_swing_open 
0219: $177 = create_garage_type 1 door -966.016 -861.529 5.761 to -966.016 -841.683 11.273 depth -978.454 -861.529 
03DA: set_garage $177 camera_follows_player 
03BB: set_garage $177 door_type_to_swing_open 
0219: $178 = create_garage_type 19 door 449.137 340.002 10.794 to 465.43 326.187 14.7 depth 465.42 340.002 
03BB: set_garage $178 door_type_to_swing_open 
0219: $179 = create_garage_type 4 door -1163.248 -1407.282 10.157 to -1159.338 -1397.813 16.989 depth -1178.292 -1400.939 
0219: $180 = create_garage_type 26 door 303.998 400.718 12.025 to 301.281 410.584 16.044 depth 298.697 402.389 
03DA: set_garage $180 camera_follows_player 
03BB: set_garage $180 door_type_to_swing_open 
057A: set_garage $180 max_cars_to 1 
0219: $181 = create_garage_type 17 door -848.225 1303.119 10.421 to -836.832 1307.033 15.816 depth -853.657 1318.901 
03DA: set_garage $181 camera_follows_player 
057A: set_garage $181 max_cars_to 4 
0219: $182 = create_garage_type 18 door -825.466 1311.499 10.537 to -817.159 1314.355 15.061 depth -828.66 1320.791 
03DA: set_garage $182 camera_follows_player 
057A: set_garage $182 max_cars_to 2 
0219: $183 = create_garage_type 24 door -816.37 1314.69 10.582 to -819.54 1324.01 15.061 depth -808.09 1317.46 
03DA: set_garage $183 camera_follows_player 
057A: set_garage $183 max_cars_to 2 
0219: $184 = create_garage_type 25 door 27.143 -1483.954 9.423 to 21.365 -1490.59 12.994 depth 22.611 -1483.384 
03BB: set_garage $184 door_type_to_swing_open 
03DA: set_garage $184 camera_follows_player 
057A: set_garage $184 max_cars_to 1 
0219: $185 = create_garage_type 16 door 450.136 641.029 10.112 to 457.977 641.029 13.092 depth 450.136 635.726 
03BB: set_garage $185 door_type_to_swing_open 
03DA: set_garage $185 camera_follows_player 
057A: set_garage $185 max_cars_to 1 
0219: $186 = create_garage_type 27 door -981.654 -802.265 6.325 to -981.654 -821.865 10.73 depth -991.127 -802.265 
03BB: set_garage $186 door_type_to_swing_open 
03DA: set_garage $186 camera_follows_player 
057A: set_garage $186 max_cars_to 2 
0219: $187 = create_garage_type 28 door -992.416 -802.265 6.325 to -992.416 -821.865 10.73 depth -1001.889 -802.265 
03BB: set_garage $187 door_type_to_swing_open 
03DA: set_garage $187 camera_follows_player 
057A: set_garage $187 max_cars_to 2 
0219: $188 = create_garage_type 29 door -1003.771 -802.265 6.325 to -1003.771 -821.865 10.73 depth -1013.244 -802.265 
03BB: set_garage $188 door_type_to_swing_open 
03DA: set_garage $188 camera_follows_player 
057A: set_garage $188 max_cars_to 2 
0219: $189 = create_garage_type 30 door -1015.436 -802.265 6.325 to -1015.436 -821.865 10.73 depth -1024.909 -802.265 
03BB: set_garage $189 door_type_to_swing_open 
03DA: set_garage $189 camera_follows_player 
057A: set_garage $189 max_cars_to 2 
0219: $190 = create_garage_type 31 door -362.12 -550.214 11.722 to -353.12 -550.214 15.16 depth -362.12 -539.484 
03BB: set_garage $190 door_type_to_swing_open 
03DA: set_garage $190 camera_follows_player 
057A: set_garage $190 max_cars_to 2 
02A8: $191 = create_marker 27 at $192 $193 $194 
Marker.Disable($191)
049C: $195 = scripted_path_file 0 width 90.0 
$196 = Object.Init(#YT_MAIN_BODY, -375.499, -1322.31, 9.81124)
$197 = Object.Init(#YT_MAIN_BODY2, -375.499, -1322.31, 9.81124)
$198 = Object.Init(#YT_DOORS14, -375.499, -1322.31, 9.81124)
$199 = Object.Init(#YT_TMP_BOAT, -375.499, -1322.31, 9.81124)
$200 = Object.Init(#LODMAIN_BODY, -375.499, -1322.31, 9.81124)
Object.RemoveFromMissionCleanupList($196)
Object.RemoveFromMissionCleanupList($197)
Object.RemoveFromMissionCleanupList($198)
Object.RemoveFromMissionCleanupList($199)
Object.RemoveFromMissionCleanupList($200)
049D: attach_scripted_file $195 with_object $196 
049D: attach_scripted_file $195 with_object $197 
049D: attach_scripted_file $195 with_object $198 
049D: attach_scripted_file $195 with_object $199 
049D: attach_scripted_file $195 with_object $200 
049E: set_scripted_file $195 speed_to 0.0 
wait 0 
wait 0 
$201 = Object.Init(#YACHT_CHUNK_KB, $202, $203, $204)
Object.RemoveFromMissionCleanupList($201)
$205 = Object.Init(#YT_GANGPLNK_TMP, $202, $203, $204)
Object.RemoveFromMissionCleanupList($205)
wait 250 
$206 = 1 // $ = int 
$207 = 1 // $ = int 
$208 = 0 // $ = int 
$209 = 0 // $ = int 
$210 = 0 // $ = int 
$211 = 0 // $ = int 
$212 = 0 // $ = int 
create_thread_wb @AMMU 
create_thread_wb @SECURE 
create_thread_wb @INTERIO 
create_thread_wb @CARGEN 
create_thread_wb @PICKUPS 
create_thread_wb @AUDIO 
wait 0 
$213 = 0 // $ = int 
$214 = 150000 // $ = int 
$215 = 0 // $ = int 
$216 = 3 // $ = int 
$217 = 2 // $ = int 
