#
# file: pedgrp.dat
# description: contains the list of ped groups for each zone. Each ped
#	group should contain 16 ped type names. Please dont use 'male01' in any of the pedgroups
#
Hfyst, HMYST, HMOST, HFYBU, HFYRI, BFYST, BMYST, BMYRI, WFYSH, WMOBU, WMYBU, WFYBU, WMORI, WMYRI, WFYRI, WMYCR	// default
HFORI, HMYRI, HMORI, HFYBU, BMYRI, BMYBU, WFYRI, WFORI,WMYRI, WMORI, WFYBU, WMYBU, WMOBU, WFYJG, WFYG1, WFYG2	// busines
HMOST, HMORI, HFYPR, BMYCR, BFYRI, BMYRI, BMYPI, WMYCR,WFYST, WMYRI, WFYPR, WFOTR, WMOTR, WMYPI, WFYG1, WFYG2	// busines night
HMYST, HMOST, HMORI, BFYST, BFOST, BMYRI, WFOST, WFOST,WMYST, WMOST, WFYBU, WMYBU, WMYBU, WMOBU, WFYG1, WFYG2	// bikarea	
HFYST, HFYST, HFOST, HMYST, HMYST, HMOST, WMYCR, WMYCR,WFYST, WFYST, WFOST, WFOST, WMYST, WMYST, WMOST, WMOST	// bikarea night
HMOTR, HMOTR, BMODK, BMODK, BMODK, BMODK, BMODK, BMODK,BMODK, BMODK, BMOTR, BMOTR, WMYCW, WMYCW, WMOTR, WMOTR	// docks
HFYPR, HFYPR, HFOTR, HMOTR, BMODK, BMODK, BMODK, BMODK,BMODK, BMODK, BMODK, BMODK, BFYPR, BFYPR, BFOTR, BMOTR	// docks night
HFOTR, HFOTR, HMOTR, HMOTR, WMYCW, WMYCW, WMYCW, WMYCW,WMYCW, WMYCW, WMYCW, WMYCW, WFOTR, WFOTR, WMOTR, WMOTR	// constru
HMOTR, HMOTR, HMOTR, HMOTR, HMOTR, HMOTR, HMOTR, HMOTR,WMOTR, WMOTR, WMOTR, WMOTR, WMOTR, WMOTR, WMOTR, WMOTR	// constru night
HMYRI, HMORI, HFYBE, BFYRI, BFORI, BMYRI, BFYBE, WFYRI,WFORI, WMYRI, WFYBE, WMYBE, WFYJG, WMYJG, JFOTO, JMOTO	// tour1
HFYST, HFOST, HMYST, HFYRI, HMYRI, BMYRI, WMYCR, WMYCR,WMYST, WMOST, WMOST, WFYRI, WFORI, WMYRI, WMORI, WMORI	// tour1 night
HFYBE, HFYBE, HMYBE, HMYBE, BFYBE, BFYBE, BMYBE, BMYBE,WFYRI, WFORI, WMYRI, WMORI, WFYBE, WFYBE, WMYBE, WMYBE	// tour2
HMORI, HMORI, WFYST, WFYST, WFYRI, WFYRI, WFORI, WFORI,WMYRI, WMYRI, WMORI, WMORI, WMYBU, WMYBU, WMOBU, WMOBU	// tour2 night
HFOST, HFOST, HMOST, BMODK, BMODK, HMYAP, HMYAP, HMYAP,BFOST, BFOST, BMOST, BMOST, WMYST, WMYCW, WMYCW, WMYCW	// street6
HFYST, HFOST, HMYST, HMYST, HMOST, HFOTR, BMODK, BMODK,BMODK, HMYAP, HMYAP, BFYST, BMYST, BMYST, WMYCW, WMYCW	// street6 night
HFORI, HMYRI, HMORI, HFYBU, BFYRI, BFORI, BMYRI, BFYBE,BMYBU, WFYRI, WFORI, WMYRI, WMORI, WFYBU, WMYBU, WMOBU	// rich1	
HFYRI, HMYRI, BMYCR, BMYCR, BFYRI, BMYRI, BMYRI, BMYBU,WMYCR, WMYCR, WFYRI, WFYRI, WMYRI, WMYRI, WMYBU, WMYBU	// rich1 night
HFORI, HMYRI, HMORI, BFYRI, BFORI, BMYRI, WFYRI, WFORI,WMYRI, WMORI, WFYBE, WMYBE, WFOBE, WMOBE, WFYJG, WMYJG	// rich2
HFYRI, HFORI, HMYRI, HMYRI, HMORI, HFYPR, HFYPR, BMYCR,BFYPR, BFYPR, WMYRI, WMORI, WMORI, WFYPR, WFYPR, WMYPI	// rich2 night 
HFORI, HMYRI, HMORI, HFYBE, HFYBE, BFYRI, BFORI, BMYRI,WFYRI, WFYRI, WFORI, WMYRI, WMYRI, WMORI, WFYBE, WFYBE	// rich3
HFYRI, HFORI, HFORI, HFORI, HMYRI, HMORI, HMORI, HMORI,WFYRI, WFYRI, WFYRI, WFORI, WMYRI, WMYRI, WMYRI, WMORI	// rich3 night
HFYST, HFOST, HMYST, HFYRI, BFYST, BFOST, BMYST, BFYRI,BFORI, WFYST, WFOST, WFYRI, WFORI, WFYSH, WFYSH, WFOSH	// shop1
BMYCR, BMYCR, BMYCR, BMYCR, BMYCR, BMYCR, BMYCR, BMYCR,WMYCR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR	// shop1 night
HFYRI, HFORI, HMYRI, HMORI, BFYRI, BMYRI, WFYRI, WFORI,WMYRI, WMORI, WFYSH, WFYSH, WFYSH, WFOSH, WFOSH, WFOSH	// shop2 
HFYST, HFYST, HFYST, HMYST, HMYST, HMYST, HMOST, BMYCR,BMYCR, BMYCR, BFYST, BFYST, WMYCR, WMYCR, WMYCR, WFYST	// shop2 night
HFYST, HMYST, HMOST, HMYRI, HMOTR, BMYCR, BFYST, BFOST,BMYST, BMOST, WFYST, WFYBU, WFYSH, WFYSH, WFOSH, WFOSH	// shop3
HFYST, HFOST, HMYST, HMOST, HFYPR, HMOTR, BMYCR, BFYST,BMOST, BFYPR, BFOTR, BMOTR, BMYPI, WFYPR, WMOTR, WMOTR	// shop3 night
HMYST, HFYBU, HMOTR, BMYST, WFYRI, BMYRI, WFYBU, WMOBU,WFYSH, WFYSH, WFYSH, WFYSH, WFOSH, WFOSH, WFOSH, WFOSH	// shop4
HFYST, HMOST, HFYPR, HFYPR, BFYST, BFOST, BFYPR, BFYPR,BMYBB, BMYBB, WFYST, WMYST, WFYG1, WFYG1, WFYG2, WFYG2	// shop4 night
HFYST, HMYST, HFYRI, HMORI, HFYBU, BMYCR, BMYST, BFORI,BMYBU, WFYST, WFYRI, WMORI, WFYBU, WMYBU, WFYG1, WFYG2	// shop5
HFYST, HFOST, HMYST, BFYST, BFOST, BMYBB, BMYBB, WFYST,WFYST, WMYST, WFYPR, WMYPI, WFYG1, WFYG1, WFYG2, WFYG2	// shop5 night
WMYGO, WMYGO, WMYGO, WMYGO, WMYGO, WFOGO, WFOGO, WFOGO,WFOGO, WFOGO, WFOGO, WMOGO, WMOGO, WMOGO, WMOGO, WMOGO	// golf1	
BFOTR, BFOTR, BFOTR, BFOTR, BFOTR, BFOTR, BFOTR, BFOTR,BFOTR, BFOTR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR	// golf1 night
WMYGO, WMYGO, WMYGO, WMYGO, WMYGO, WFOGO, WFOGO, WFOGO,WFOGO, WFOGO, WFOGO, WMOGO, WMOGO, WMOGO, WMOGO, WMOGO	// golf2	
BFOTR, BFOTR, BFOTR, BFOTR, BFOTR, BFOTR, BFOTR, BFOTR,BFOTR, BFOTR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR, WMYCR	// golf2 night
HFYBE, HFOBE, HMOBE, WMYJG, HMYBE, BFOBE, BMOBE, WFYBE,WMYBE, WMOBE, WFYLG, WMYLG, WFYJG, WFYSK, WMYSK, HFYBE	// beach1
HFYST, HMYST, JFOTO, JMOTO, HFYMD, BMYST, BFYRI, BMYRI,BFOTR, BMOTR, BMYBB, WFYST, WMYST, WFYRI, WFOTR, WMOTR	// beach1 night
HFYBE, HFOBE, HMYBE, HMOBE, WFYJG, HMYBE, BFYBE, BMYBE,BFOBE, BMOBE, WFYBE, WMYBE, WFOBE, WMOBE, WFYLG, WFYSK	// beach2
HFYST, HMYST, HFYBU, JFOTO, JMOTO, HFYMD, BMYST, BFOTR,BMOTR, BMYBB, WFYST, WFORI, WMORI, WFOTR, WMOTR, HFYBE	// beach2 night
HFYBE, HMYBE, BFYBE, BMYBE, BFOBE, WFYBE, WMYBE, WFOBE,WFYLG, WMYLG, WFYJG, WMYJG, WFYSK, WMYSK, JFOTO, JMOTO	// beach3	
HFOTR, HFOTR, HMOTR, HMOTR, BFYST, BMYST, BFOTR, BMOTR,WFYRI, WFORI, WMYRI, WMORI, WFOTR, WFOTR, WMOTR, WMOTR	// beach3 night
HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP,HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP	// airport
HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP,HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP, HMYAP	// airport night
HFYST, HMYRI, HMORI, HMYAP, BFYRI, BFORI, BMYRI, WFYRI,WFYRI, WFORI, WFORI, WMYRI, WMYRI, WMORI, JFOTO, JMOTO	// terminl
HFOST, HMYST, HMOST, HMYRI, HMYAP, HMYAP, HMYAP, BFYST,BMYST, BFYRI, WFYRI, WFORI, WMYRI, WMORI, JFOTO, JMOTO	// terminl night
HFYBE, HMYBE, HFYBU, BFYBE, BMYBE, BMOBE, WFYBE, BMYBE,BFOBE, BMOBE, WFYJG, WMYJG, WFYSK, WMYSK, JFOTO, JMOTO	// club1
HFYST, HMYST, HFYRI, HMYRI, HMORI, HFYPR, BFYST, BMYST,BFYRI, BMYRI, WFYST, WMYST, WFYRI, WMYRI, WFYPR, WMYPI	// club1 night
HFYST, HFYST, HMYST, HMYST, HFORI, HMYRI, HMORI, BFYST,BFOST, BMYST, WFYST, WMYST, WMOST, WFORI, WMYRI, WMORI	// club2	
HFYRI, HFORI, HMYRI, HMYRI, HMORI, HFYPR, HFYPR, BMYCR,BFYPR, BFYPR, WMYRI, WMORI, WMORI, WFYPR, WFYPR, WMYPI	// club2 night
HMYST, HMOST, HMYRI, HFOTR, HMOTR, BMODK, BMYCR, BMYST,BMYST, BMOST, BMYRI, BFOTR, BFOTR, BMOTR, BMYPI, BMYBB	// ghetto1
HFYPR, HFYPR, BMODK, BFOST, BMYST, BFYPR, BFYPR, BFYPR,BFYPR, BFOTR, BFOTR, BMOTR, BMOTR, BMYPI, BMYPI, BMYBB	// ghetto1 night
HFYST, HFYST, HFOST, HFOST, HMYST, HMYST, HMOST, HMOST,HFOTR, HFOTR, HMOTR, HMOTR, BFOST, BFOST, BMOST, BMOST	// ghetto2
HFYST, HFYST, HFOST, HMYST, HMOST, HMOST, HFYPR, HFYPR,HFYPR, HFYPR, HFOTR, HFOTR, HMOTR, HMOTR, BFYPR, BMYPI	// ghetto2 night
HFYCG, HFOBE, HMOBE, WMYJG, HMYBE, BFOBE, BMOBE, WFYBE,WMYBE, WMOBE, WFYLG, WMYLG, WFYJG, WFYSK, WMYSK, HFYBE	// oceand1
HFYST, HMYST, JFOTO, JMOTO, HFYCG, BMYST, BFYRI, BMYRI,WFYPR, BMOTR, HFYMD, WFYST, WMYST, WFYRI, WFOTR, WMOTR	// oceand1 night
HFYCG, HFOBE, HMOBE, WMYJG, HMYBE, BFOBE, BMOBE, WFYBE,WMYBE, WMOBE, WFYLG, WMYLG, WFYJG, WFYSK, WMYSK, HFYBE	// oceand2
WFYPR, BFYPR, HFYPR, HFYPR, BFYPR, WFYPR, BMYCR, WMYCR,WMYPI, BMYCR, WMYCR, WMYPI, WFYPR, BFYPR, WMYCR, WMYPI	// oceand2 night
