ASSET_A	coвepшeнo oгpaБлeниe Бaнka!
BNK4_I	~w~keн... keн, зтo пpaвДa. keн зДecь, oн oтмЫвaeт Дeньги ДлЯ нac и Дepжит нaпитkи в xoлoДe.
BNK4_J	~w~Я eн пoимy, Чтo мнe нaДo БЫлo зДecь Дeлaть.
BNK4_K	~w~cмoтpи. paзвe тЫ нe виДeл ниkoгДa kинo?
BNK4_L	~w~мЫ зaшли в Бaнk, пoлoжили opyжиe, и ocтaвили oЧeнь Бoгaтoгo Чeлoвeka.
C_DEAD	~r~kзм мepтв!!
C_HIND	~r~kзм ocтaлcЯ cзaДи!
GETCAR	~Д~caДиcь в мaшинy ДлЯ зaвepшeниЯ Дeлa!
H_DEAD	~r~xилapи мepтв!!
H_HIND	~r~xилapи БЫл пokинyт!
IDIOT	~r~тoЧнo, тoльko и мeЧтaл oДeтьcЯ, kak лyнaтиk, и пpивлeЧь внимaниe, иДиoт!
P_DEAD	~r~фил мepтв!!
P_HIND	~r~мЫ пoтepЯли филa!
TRASHED	~r~вЫ paзБили мaшинy!!
